Time,Value
2019 Q1,0.6
2019 Q2,0.1
2019 Q3,0.5
2019 Q4,null
2020 Q1,-2.8
2020 Q2,-19.5
2020 Q3,16.9
2020 Q4,1.3
2021 Q1,-1.6
2021 Q2,4.8
