Time;Forest area sqm
1990;41282694,9
1991;41210027,5
1992;41137360,5
1993;41064693,4
1994;40992025,9
1995;40919358,7
1996;40846691,3
1997;40774024,2
1998;40701356,7
1999;40628689,7
2000;40556022,3
2001;40510303,3
2002;40464584,1
2003;40418865,2
2004;40373146
2005;40327427
2006;40293287,6
2007;40259147,7
2008;40225008,7
2009;40190869,1
2010;40156729,7
2011;40123639,2
2012;40090560,5
2013;40057482
2014;40024403,3
2015;39991324,6
2016;39958245,9
2017;
2018;
;
;
